crime_id,date,category,description,latitude,longitude,location_description,arrest,domestic,district,ward,arrest_probability,risk_score,risk_level
CR-2023-002112,2024-12-28 21:58:56,NARCOTICS,SALE/MANUFACTURE,41.85587874799855,-87.71754176148848,ALLEY,True,False,D-02,W-45,0.7707884317836987,0.1528,LOW
CR-2024-000067,2024-11-06 21:22:55,NARCOTICS,SALE/MANUFACTURE,41.8643086364865,-87.60655098392473,SIDEWALK,True,False,D-10,W-33,0.6917375017582339,0.2055,LOW
CR-2024-003817,2024-04-04 03:58:34,BATTERY,DOMESTIC BATTERY,41.905880600672205,-87.6360667451877,COMMERCIAL BUILDING,True,False,D-03,W-15,0.7643031512375649,0.2357,LOW
CR-2025-003467,2023-07-07 09:50:26,ASSAULT,AGGRAVATED ASSAULT,41.89128445959607,-87.62259087109979,COMMERCIAL BUILDING,False,False,D-01,W-17,0.21202940883715754,0.788,CRITICAL
CR-2024-005104,2023-07-21 13:05:45,ASSAULT,AGGRAVATED ASSAULT,41.88078038073133,-87.73929649980201,STREET,False,False,D-04,W-27,0.2531934474143521,0.7468,HIGH
CR-2023-001677,2024-11-05 21:39:09,MOTOR VEHICLE THEFT,MOTORCYCLE,41.76405471479829,-87.63314078525795,PARK,False,False,D-02,W-16,0.1218991966260773,0.5854,HIGH
CR-2024-003985,2024-02-05 02:29:42,CRIMINAL DAMAGE,GRAFFITI,41.81883493233054,-87.6128827549179,COMMERCIAL BUILDING,True,False,D-04,W-13,0.17010576012080886,0.3873,MEDIUM
CR-2023-003324,2024-11-20 11:32:09,CRIMINAL DAMAGE,GRAFFITI,41.8946934733829,-87.62678951958567,ALLEY,False,False,D-08,W-42,0.10782905094907674,0.4163,MEDIUM
CR-2023-000234,2025-01-04 01:31:14,BATTERY,AGGRAVATED BATTERY,41.870142482785845,-87.63843727360967,STREET,True,False,D-13,W-24,0.8155337125975215,0.1845,LOW
CR-2024-002575,2024-08-28 01:36:15,MOTOR VEHICLE THEFT,TRUCK,41.91223738141472,-87.64258336964497,RESIDENCE,False,False,D-09,W-29,0.08147840806665878,0.6123,HIGH
CR-2025-003728,2025-09-07 17:53:57,NARCOTICS,POSSESSION OF COCAINE,41.864225583808654,-87.71322899932471,APARTMENT,True,False,D-05,W-14,0.7843153293243249,0.1438,LOW
CR-2025-002162,2023-08-05 23:52:08,BURGLARY,COMMERCIAL,41.8666622114128,-87.61425545661892,STREET,False,False,D-09,W-35,0.10427738020729653,0.5971,HIGH
CR-2025-001250,2024-10-18 22:50:30,ASSAULT,AGGRAVATED ASSAULT,41.79316532493049,-87.60479538348669,STREET,False,True,D-08,W-09,0.16349465114013495,0.8365,CRITICAL
CR-2025-005534,2023-06-17 05:12:52,MOTOR VEHICLE THEFT,AUTOMOBILE,41.81576205018445,-87.61878473131091,PARK,True,False,D-08,W-47,0.11589619467723929,0.5894,HIGH
CR-2024-005665,2023-07-27 01:50:29,BATTERY,AGGRAVATED BATTERY,41.78763408883706,-87.62044751296106,SIDEWALK,True,False,D-12,W-34,0.6394188015450785,0.3606,MEDIUM
CR-2023-004428,2024-03-22 06:10:07,THEFT,PETTY THEFT,41.88121790751601,-87.62781103491962,PARKING LOT,False,False,D-03,W-37,0.16105125109781557,0.3915,MEDIUM
CR-2023-005394,2025-03-29 02:08:31,MOTOR VEHICLE THEFT,MOTORCYCLE,41.73534793855736,-87.64038051452208,PARKING LOT,False,False,D-07,W-06,0.24399341160367555,0.504,HIGH
CR-2024-004138,2025-10-02 00:58:56,THEFT,RETAIL THEFT,41.840396799625736,-87.60946256901349,ALLEY,False,False,D-05,W-15,0.13344212908937586,0.4044,MEDIUM
