crime_id,date,category,description,latitude,longitude,location_description,arrest,domestic,district,ward
CR-2023-002112,2024-12-28 21:58:56,NARCOTICS,SALE/MANUFACTURE,41.855878747998545,-87.71754176148848,ALLEY,True,False,D-02,W-45
CR-2024-000067,2024-11-06 21:22:55,NARCOTICS,SALE/MANUFACTURE,41.8643086364865,-87.60655098392473,SIDEWALK,True,False,D-10,W-33
CR-2024-003817,2024-04-04 03:58:34,BATTERY,DOMESTIC BATTERY,41.905880600672205,-87.6360667451877,COMMERCIAL BUILDING,True,,D-03,W-15
CR-2025-003467,2023-07-07 09:50:26,ASSAULT,AGGRAVATED ASSAULT,41.891284459596065,-87.62259087109979,COMMERCIAL BUILDING,False,False,D-01,W-17
CR-2024-005104,2023-07-21 13:05:45,ASSAULT,AGGRAVATED ASSAULT,41.88078038073133,-87.73929649980201,STREET,False,False,D-04,W-27
CR-2023-001677,2024-11-05 21:39:09,MOTOR VEHICLE THEFT,MOTORCYCLE,41.764054714798284,-87.63314078525795,PARK,False,False,D-02,W-16
CR-2024-003985,2024-02-05 02:29:42,CRIMINAL DAMAGE,GRAFFITI,41.81883493233054,-87.6128827549179,COMMERCIAL BUILDING,True,False,D-04,W-13
CR-2023-003324,2024-11-20 11:32:09,CRIMINAL DAMAGE,GRAFFITI,41.8946934733829,-87.62678951958567,ALLEY,False,False,D-08,W-42
CR-2023-000234,2025-01-04 01:31:14,BATTERY,AGGRAVATED BATTERY,41.870142482785845,-87.63843727360967,STREET,True,False,D-13,W-24
CR-2024-002575,2024-08-28 01:36:15,MOTOR VEHICLE THEFT,TRUCK,41.91223738141472,-87.64258336964497,RESIDENCE,False,False,D-09,W-29
CR-2025-003728,2025-09-07 17:53:57,NARCOTICS,POSSESSION OF COCAINE,41.864225583808654,-87.71322899932471,APARTMENT,True,False,D-05,W-14
CR-2025-002162,2023-08-05 23:52:08,BURGLARY,COMMERCIAL,41.8666622114128,-87.61425545661892,STREET,False,False,D-09,W-35
CR-2025-001250,2024-10-18 22:50:30,ASSAULT,AGGRAVATED ASSAULT,41.79316532493049,-87.60479538348669,STREET,False,True,D-08,W-09
CR-2025-005534,2023-06-17 05:12:52,MOTOR VEHICLE THEFT,AUTOMOBILE,41.81576205018445,-87.61878473131091,PARK,True,False,D-08,W-47
CR-2024-005665,2023-07-27 01:50:29,BATTERY,AGGRAVATED BATTERY,41.78763408883706,-87.62044751296106,SIDEWALK,True,False,D-12,W-34
CR-2023-004428,2024-03-22 06:10:07,THEFT,PETTY THEFT,41.88121790751601,-87.62781103491962,PARKING LOT,False,False,D-03,W-37
CR-2023-005394,2025-03-29 02:08:31,MOTOR VEHICLE THEFT,MOTORCYCLE,41.735347938557354,-87.64038051452208,PARKING LOT,False,False,D-07,W-06
CR-2024-004138,2025-10-02 00:58:56,THEFT,RETAIL THEFT,41.840396799625736,-87.60946256901349,ALLEY,False,False,D-05,W-15
CR-2024-002296,2025-03-27 23:57:55,MOTOR VEHICLE THEFT,MOTORCYCLE,41.79254466783831,-87.68328928511902,RESIDENCE,False,False,D-07,W-18
CR-2025-005903,2023-09-29 16:40:58,THEFT,FROM BUILDING,41.85676912254248,-87.62657452085585,APARTMENT,False,False,D-02,W-50
CR-2025-003740,2024-01-07 08:39:40,MOTOR VEHICLE THEFT,MOTORCYCLE,41.94389013153331,-87.64938976616818,PARK,False,False,D-10,W-37
CR-2023-000381,2023-02-25 20:06:27,ROBBERY,STRONGARM ROBBERY,41.999601690765374,-87.65722119799449,STREET,False,False,D-11,W-20
CR-2025-003773,2023-12-20 03:19:15,CRIMINAL DAMAGE,GRAFFITI,41.880813528225254,-87.74455418415144,STREET,False,False,D-10,W-27
CR-2023-005364,2024-04-27 20:54:45,BURGLARY,RESIDENTIAL,41.83935672947609,-87.74685294763434,RESIDENCE,False,False,D-05,W-05
CR-2025-000974,2023-11-16 00:30:59,THEFT,RETAIL THEFT,41.89499075376158,-87.63057090585383,RESIDENCE,False,,D-05,W-04
CR-2024-002251,2024-10-31 09:00:20,MOTOR VEHICLE THEFT,TRUCK,41.85209540898382,-87.71946601958152,RESIDENCE,False,True,D-01,W-12
CR-2023-004584,2023-03-04 06:26:28,THEFT,FROM BUILDING,41.95385267028639,-87.64845548841151,PARK,False,False,D-02,W-19
CR-2025-000728,2023-09-23 04:05:47,BATTERY,DOMESTIC BATTERY,41.96346683242209,-87.64767683230234,ALLEY,True,True,D-12,W-43
CR-2023-005943,2024-08-26 11:28:54,NARCOTICS,POSSESSION OF HEROIN,41.876290354488056,-87.63504828023684,PARKING LOT,False,False,D-09,W-32
CR-2025-001409,2025-02-14 00:10:23,MOTOR VEHICLE THEFT,AUTOMOBILE,41.88400695947325,-87.65871508869019,APARTMENT,False,False,D-13,W-22
CR-2025-002654,2025-10-08 09:59:08,MOTOR VEHICLE THEFT,AUTOMOBILE,41.93322058602193,-87.67487481672619,RESIDENCE,True,False,D-13,W-46
CR-2024-004477,2023-02-11 16:16:22,NARCOTICS,POSSESSION OF HEROIN,41.77184398520192,-87.60273064273821,SIDEWALK,False,False,D-01,W-08
CR-2025-005177,2024-08-06 10:24:11,BURGLARY,FORCIBLE ENTRY,41.962286527622986,-87.60384495221511,SIDEWALK,False,False,D-09,W-07
CR-2024-005209,2025-04-08 01:49:55,ASSAULT,SIMPLE ASSAULT,41.965498078452725,-87.65511209290848,RESIDENCE,False,False,D-13,W-11
CR-2023-003600,2023-02-22 14:15:12,NARCOTICS,POSSESSION OF COCAINE,41.951193033484316,-87.65399950737623,RESIDENCE,True,False,D-05,W-49
CR-2025-004253,2023-06-21 15:43:11,ROBBERY,STRONGARM ROBBERY,41.893823059515135,-87.64237264723498,PARKING LOT,False,False,D-06,W-02
CR-2023-005079,2023-10-20 20:45:17,ASSAULT,AGGRAVATED ASSAULT,41.88563819369681,-87.61161863921016,PARKING LOT,False,True,D-01,W-50
